ID,LAT,LON,TIPOLOGIA,name,LEGALE_RA,UBICAZIONE,City,FOGLIO,PARTICELLA,Country,SUB,POSTI LETTO,DATA INIZIO ATTIVITA'
324,40.6602956,16.6090475,Bed & Breakfast,DON MILANI,CAVONE ROSALBA,VIA DON L. MILANI 10,Matera,103,797,Italy,9,4,42586
326,40.6833836,16.5792271,Bed & Breakfast,EDONE',FRANCESCA TATARANNI,VIA CILEA 66,Matera,51,1451,Italy,15,4,42571
327,40.6744738,16.6017041,Bed & Breakfast,ELIZABETH,SALUZZI FRANCESCO,VIA UMBRIA 6,Matera,159,4845,Italy,12,4,42550
328,40.6632427,16.6123433,Bed & Breakfast,FOFO',RAFFAELE STIFANO,RIONE MALVE 67,Matera,159,2328,Italy,2,2,42264
329,40.6584495,16.6099328,Bed & Breakfast,FRANCARO',ROBERTO MARIA FRANCESCA,VIA MORELLI 1,Matera,103,519,Italy,7,2,39534
331,40.666601,16.608135,Bed & Breakfast,IL CAMINETTO,BATTENTE CONCETTA IMMACOLATA,via Fiorentini 52,Matera,159,527,Italy,3,2,39604
333,40.6756892,16.5742617,Bed & Breakfast,IL CRUSCO,DILEO NICLA,VIA DELL'AGRICOLTURA 8,Matera,67,3848,Italy,7,3,42976
336,40.6774682,16.5792931,Bed & Breakfast,IL MODERNO,FEDELE GIUDICEPIETRO,VIA COSENZA 70,Matera,67,1505,Italy,17,4,42437
337,40.66444,16.603387,Bed & Breakfast,IL PICCHIOLINO,MICHELE GROSSI,via Antonio Gramsci 20,Matera,71,302,Italy,14,3,42809
338,40.6663864,16.6067083,Bed & Breakfast,IL PONTICELLO AI SASSI,ANGELA DE SIMONE,VIA LOMBARDI 4,Matera,159,628,Italy,3,3,42409
339,40.6670941,16.6070503,Bed & Breakfast,IL PORTICO DEI SASSI,GURRADO BRUNA,VIA PENTASUGLIA 8,Matera,159,28,Italy,17,2,42509
341,40.6697833,16.6075564,Bed & Breakfast,IL RE DEGLI SCALZI,LAMACCHIA ANGELO,VIA F. PAOLO FESTA 10,Matera,159,3474,Italy,3,2,42538
342,40.6636504,16.6120014,Bed & Breakfast,IL SASSO E LA SETA,PAOLICELLI LUCIANA,RIONE MALVE 31,Matera,159,2198,Italy,3,5,41814
344,40.6550333,16.586422,Bed & Breakfast,IL VILLINO,BIAGIO PAOLICELLI,Cda . Pozzo Misseo,Matera,100,428,Italy,1,8,39115
348,40.6648188,16.6034347,Bed & Breakfast,LA CASA DI NINA,ANNA MIGLIO,VICO 2 PASSARELLI  2,Matera,71,323,Italy,16,4,42254
349,40.6676142,16.6041146,Bed & Breakfast,LA CASA DI ROSA,CINIERO VITO DOMENICO,via spine bianche 8,Matera,,,Italy,,4,42335
352,40.662352,16.597222,Bed & Breakfast,LA LOCANDA DI ZI NICOLA,RAUCCI GIUSEPPE,VIA ANNIBALE DI FRANCIA 9,Matera,14,349,Italy,1,6,42464
353,40.669989,16.60884,Bed & Breakfast,LA MANSARDA SUI SASSI,ANGELA FONTANAROSA,VIA SANTA CESAREA 36,Matera,159,47,Italy,42,3,42314
354,40.664793,16.611572,Bed & Breakfast,LA PIAZZETTA,RAMUNDO GIUSEPPINA,San Pietro Caveoso 8,Matera,,,Italy,,4,38937
356,40.6646524,16.6097362,Bed & Breakfast,L'ALBERO DI ELIANA,ELIANA VIGGIANI,GRADONI MUNICIPIO 14,Matera,159,1815,Italy,12,4,42679
357,40.662543,16.610435,Bed & Breakfast,LANDSCAPE SASSI MATERA,CATALDO MONTANARO,VIA CASALNUOVO 173,Matera,159,2496,Italy,,2,42353
358,40.67243,16.6013056,Bed & Breakfast,L'ANGOLINO,MARAGNO FRANCESCO PAOLO,VIA DELLA CROCE 43/1,Matera,71,857,Italy,13,2,39636
359,40.665985,16.610805,Bed & Breakfast,L'ANTICA CIVITA,GIUSEPPE SANTOCHIRICO,RECINTO CASTELVECCHIO 5,Matera,159,1522,Italy,4,4,42524
360,40.666087,16.609681,Bed & Breakfast,L'ARTURO,MONICA CELESTE LASCARO,VIA TRE CORONE  9/10,Matera,159,804,Italy,1,6,43118
361,40.6674503,16.6012834,Bed & Breakfast,L'ATTICO DEL CENTRO MATERA,IMMACOLATA NICOLETTI,VIALE ALDO MORO 10,Matera,71,1470,Italy,30,2,42409
362,40.6596574,16.6136478,Bed & Breakfast,LE ALI DI ANGELO,PAGLIEI ROSALIA,VIA LUCANA 282,Matera,103,338,Italy,,4,42207
363,40.646172,16.618913,Bed & Breakfast,LE SORBOLE,DUNI ANGELA RAFFAELLA,via Manicone 17,Matera,106,876,Italy,3,6,40221
365,40.6616204,16.607579,Bed & Breakfast,L'EDERA,TOMMASO FELICETTI,VIA CAROPRESO 10F,Matera,103,884,Italy,4,5,42503
366,40.642495,16.62292,Bed & Breakfast,LO SPEZIALE,VENTURA NICOLA,VIA DELL'ARIETE 13,Matera,114,854,Italy,5,3,42320
367,40.6659269,16.6074773,Bed & Breakfast,LO STRANIERO,D'AMBROSIO TERESA MARIA,VIA DEL CORSO 17BIS,Matera,159,2685,Italy,49,6,42184
368,40.668078,16.6052844,Bed & Breakfast,LUCANA 22,CATOGGIO ANGELO MARIA GIOVANNI,VIA LUCANA 22,Matera,159,3765,Italy,12,6,42340
369,40.669234,16.607573,Bed & Breakfast,MARGOT,D'ANZI MARGHERITA,VIA T. STIGLIANI 32,Matera,159,3453,Italy,23,8,42465
370,40.6628731,16.6081203,Bed & Breakfast,MARISOL,CHIRONNE MARIA ANTONIA,VIA P. VENA 74,Matera,103,655,Italy,5,4,42527
371,40.715046,16.516131,Bed & Breakfast,MASSERIA LA FIORITA,CASTORO GIUSEPPE,CONTRADA MARRONI  snc,Matera,24,398,Italy,10,4,42503
372,40.6591175,16.6147381,Bed & Breakfast,MATERA RESIDENCE,POMPILIO GAETANO,via lucana 295,Matera,159,4004,Italy,18,2,41935
373,40.6695783,16.5950964,Bed & Breakfast,MATERAPARTMENT,BITETTI ANNUNZIATA,VIA LAZAZZERA 30,Matera,71,2136,Italy,8,3,42228
374,40.666178,16.6109311,Bed & Breakfast,MATERA'S,TOMMASO MATTEI,SALITA CASTELVECCHIO 16 17 18,Matera,159,1529,Italy,16,4,42321
375,40.6752065,16.5859766,Bed & Breakfast,MEUCCI,TACCARDI MASSIMO,VIA MEUCCI 1,Matera,68,281,Italy,14,4,41291
376,40.6647072,16.6004856,Bed & breakfast,MISTY2D,DANIELIULIAN BLEAU,VIA CAPPELLUTI 47,Matera,71,449,Italy,1,5,42160
377,40.6657398,16.6115226,Bed & breakfast,NEI SASSI DA NINO,BENIGNO OLIVOPOTENZA,RECINTO CAVONE 2,Matera,159,1412,Italy,2,2,42531
379,40.6650298,16.6078366,Bed & Breakfast,NETTA,FLORIO MARIA CARMELA,VIA SCOTELLARO 5,Matera,159,2605,Italy,17,7,42838
381,40.6743411,16.5799202,Bed & Breakfast,ORIONE,BURDO ADDOLORATA,VIA SINNI 9,Matera,67,408,Italy,,3,42458
382,40.669989,16.60884,Bed & Breakfast,PATA',TERESA LIONETTI,VIA SANTA CESAREA 10,Matera,159,171,Italy,5,2,42577
383,40.66647,16.61176,Bed & Breakfast,PONTICELLO A SAN POTITO,AMABILE TRILLI,VIA SAN POTITO 55,Matera,159,,Italy,,2,42417
384,40.648251,16.6024079,Bed & Breakfast,PORTAPEPICE,ALDO URGO,CONTRADA CHIANCALATA,Matera,103,879,Italy,,2,42528
385,40.6667908,16.6101923,Bed & Breakfast,I SAN GENNARO  b & B,DI BENEDETTO FRANCO,VIA SAN GENNARO 24,Matera,,,Italy,,6,37937
386,40.6721108,16.6022857,Bed & Breakfast,ROOMS MATERA,NICOLA PLASMATI,VIA ANNUNZIATELLA  147,Matera,71,708,Italy,30,4,42401
387,40.6668635,16.6128911,Bed & Breakfast,SAN POTITO,GAUDIANO FRANCESCA,via San Potito 10,Matera,159,1255,Italy,12,,38764
388,40.6678407,16.6091579,Bed & Breakfast,SAN ROCCO,STASI TERESA,via San Rocco 78,Matera,,,Italy,,2,39848
389,40.6643476,16.6115588,Bed & Breakfast,SASSOLINO,GRANDE GRAZIA,via Bruno Buozzi 180,Matera,159,3369,Italy,4,6,39562
395,40.6553849,16.5857851,Bed & Breakfast,VILLA RAFFY,LOPERFIDO MARIA RAFFAELLA,C.DA POZZO MISSEO,Matera,100,536,Italy,11,2,42537
396,40.6593082,16.6072331,Bed & Breakfast,ACCERASSOLE,VENEZIA FILOMENA,VIA P. VENA 85,Matera,103,418,Italy,,2,42624
397,40.6657398,16.6115226,Bed & Breakfast,UNO SGUARDO SUI SASSI,RONDINONE ANGELA,VICO SANTO STEFANO 90,Matera,72,156,Italy,11,3,42705
398,40.676691,16.599124,Bed & Breakfast,TRA I MULINI,MARCOSANO MARIA PIA,VIA MARCONI 121,Matera,159,4708,Italy,12,2,42722
399,40.6684906,16.5924608,Bed & Breakfast,DA ANNALISA,MELODIA ANNALISA,VIALE DELLA LIBERTA' 2,Matera,69,344,Italy,10,2,42788
401,40.6713,16.6051413,Bed & Breakfast,MEFITE DIMORA B&B,MICHELE FRASCELLA,VIA ANNUNZIATELLA 34,Matera,159,4037,Italy,5,6,42754
402,40.65795637,16.6118297,Bed & Breakfast,I LIKE MATERA,ANTONIO SACCO,VIA M. MORELLI 4,Matera,103,52,Italy,7,3,42838
404,40.673475,16.607125,Bed & Breakfast,DA LUCIANO,SANTARSIA ANNA MARIA,VIA CERERIE 4,Matera,72,139,Italy,75,4,42559
405,40.6657214,16.5938137,Bed & Breakfast,CASAMIA 2019,CONCETTA CASAMIA,VIA SANTA CATERINA DA SIENA 6,Matera,67,106,Italy,,4,42395
406,40.6677138,16.6078866,Bed & Breakfast,BED & BREAKFAST GIUSTO,FRANCESCO GIUSTO,VIA LAURA BATTISTA 15,Matera,159,3656,Italy,11,2,42859
407,40.667691,16.609197,Bed & Breakfast,HOPLITES,SIMONA LOPERFIDO,VIA SAN ROCCO 119,Matera,159,467,Italy,1,8,42863
408,40.6655016,16.603939,Bed & Breakfast,B & B AURELIA,MARIA ROSARIA LIANTONIO,VIA TORRACA  23,Matera,71,256,Italy,,6,42924
409,40.6710931,16.6086155,Bed & Breakfast,LA CORTE DEGLI ARTIGIANI,SACCO CLAUDIA,VIA SANTO STEFANO 26,Matera,159,2,Italy,28,,42944
410,40.6810388,16.6238437,Bed & Breakfast,IL CASALE VERDE,ROSANNA MATERA,C.DA PEDALE DELLA PALOMBA,Matera,53,266,Italy,7,3,42993
411,40.6674937,16.6045006,Bed & Breakfast,LE NOTTI SUI SASSI,FESTA COSIMO DAMIANO,VIA LUCANA 262,Matera,103,258,Italy,8,2,43045
412,40.6633785,16.6119767,Bed & Breakfast,UN POSTO A MALVE,SAPONARO LEONARDO ANTONIO,RIONE MALVE 23,Matera,159,2187,Italy,6,3,43071
413,40.6719431,16.6084047,Bed & Breakfast,IL PECCATO ORIGINALE,GIOVANNI AZZONE,VIA SANTO STEFANO 60,Matera,159,2892,Italy,1,5,43122
721,40.65935355,16.53170708,Bed & Breakfast,AL BORGO,SCARCIOLLA EUSTACHIO VINCENZO,via Tagliamento 2,Matera,65,2454,Italy,3,6,42775
722,40.668927,16.610487,Bed & Breakfast,DELLE VIRTU',GENCO MARIANNA,via Casale 63,Matera,,,Italy,,,38764
723,40.661286,16.611772,Bed & Breakfast,DOMINA SASSI ROOMS,MOLITERNI MARIA RAFFAELLA,via san francesco paolo vecchio 22/23,Matera,,,Italy,,6,42320
724,40.66313661,16.61166098,Bed & Breakfast,EN SUITE,EMMA ANNAGRAZIA MARIA,vico Confalone 2,Matera,159,2062,Italy,1,4,42000
725,40.64283712,16.62475767,Bed & Breakfast,SOLACIUM,CATALDO DI PEDE,via t. ricciardi 63,Matera,114,284,Italy,4,6,41117
726,40.664696,16.610535,Bed & Breakfast,1824 SASSO SCRITTO,RENZI VITTORIA,via Pennino 8/11,Matera,,,Italy,,2,38082
727,40.66895296,16.60682874,Bed & Breakfast,A CASA MIA,ANDREINA GUARINI,REC. MARIO PAGANO 5,Matera,159,4026,Italy,10,3,42277
728,40.66221453,16.59593366,Bed & Breakfast,AMOUSTACHE,MOSTACCI MICHELE,VIA PASSARELLI 137 BIS,Matera,101,656,Italy,9,4,42532
729,40.658075,16.59654967,Bed & Breakfast,BAGNI DEL SOLE,DISIMINE ROSARIA,CONTRADA SGARRONE,Matera,101,543,Italy,1,5,42066
730,40.66710283,16.61085431,Bed & Breakfast,CAPRIOTTI,CAPRIOTTI OLIVIO,via gradoni Duomo 23-28,Matera,159,1113,Italy,,6,38855
731,40.64744124,16.62839323,Bed & Breakfast,CASALE DELLE PIANE,DI PEDE GIUSEPPE,C.DA AGNA LE PIANE,Matera,107,320,Italy,4,4,42433
732,40.6809587,16.57461036,Bed & Breakfast,CASAMIA2019,CASAMIA CONCETTA,VIA TERENZIO 11,Matera,67,106,Italy,16,,42439
733,40.668139,16.604026,Bed & Breakfast,CENTRALE,MATTEI MARCO,VICO VI NOVEMBRE,Matera,,,Italy,,2,39063
734,40.65183926,16.6178548,Bed & Breakfast,DAL VECCHIO FRANTOIO,FRACCALVIERI FELICIANA,REC MONTESCAGLIOSO 15,Matera,105,15,Italy,32,2,42531
735,40.68834072,16.57575739,Bed & Breakfast,DALIA,PERRONE PIETRO,REC II PAOLO BORSELLINO 8,Matera,51,2772,Italy,31,5,42516
736,40.65312437,16.61797428,Bed & Breakfast,DANY'S HOUSE,EMANUELE PAPAPIETRO,via Cappuccini 32,Matera,105,98,Italy,5,4,38908
737,40.661288,16.611783,Bed & Breakfast,DOMINA SASSI,MOLITERNI RAFFAELLA,VIA CASALNUOVO 90,Matera,,,Italy,,6,42320
738,40.64468926,16.62465384,Bed & Breakfast,DOMUS ANGELA,VENEZIA PIERFRANCESCO,VIA T. RICCIARDI 13/3,Matera,106,273,Italy,6,2,42227
739,40.66698282,16.60804635,Bed & Breakfast,DONNA LINA,LASCARO ANGELA,VICO FORNACI VECCHIE 7.8.9,Matera,159,580,Italy,8,7,42159
740,40.68791918,16.58735956,Bed & Breakfast,DUE CUORI E UN B&B,FILOMENA FABRIZIO,VIA DEI MESSAPI 41,Matera,51,433,Italy,12,2,42535
741,40.65990805,16.61155216,Bed & Breakfast,FORTUNATO,SANTOCHIRICO EUSTACHIO,VIA GIUSTINO FORTUNATO  9,Matera,103,240,Italy,19,4,42417
742,40.67503422,16.59834565,Bed & Breakfast,I DUE ARCHI,GIULIO FABRIZIO,via gobetti 51/A,Matera,159,4772,Italy,17,3,41970
743,40.673471,16.607093,Bed & Breakfast,IL CIELO SUI SASSI,LAURA LUONGO,VIA CERERIE 4/B,Matera,72,34,Italy,9,3,42808
744,40.66580356,16.61094328,Bed & Breakfast,IL COLLE DELLA CIVITA,NICOLETTI DOMENICO,REC.CASTELVECCHIO 5,Matera,159,1524,Italy,9,3,42580
745,40.68894805,16.58609007,Bed & Breakfast,IL GIARDINO DI ITALIA,ISABELLA GUARINI,VIA DEI MESSAPI 25 BIS,Matera,28,889,Italy,4,3,42277
746,40.6690902,16.60372212,Bed & Breakfast,IL GIGLIO DEI SASSI,MANICONE ANNA,VIA L. PROTOSPATA  37,Matera,71,1053,Italy,,2,42592
747,40.64575826,16.6193574,Bed & Breakfast,IL GIRASOLE,CAPPIELLO ANNA MARIA,REC. MASTRONARDI 2/e,Matera,106,879,Italy,1,3,42297
748,40.65648624,16.58825676,Bed & Breakfast,IL PIZZOCANNICCHIO,RIBECCO ANNA MARIA,CONTRADA PIZZOCANNICCHIO,Matera,100,519,Italy,3,4,42338
750,40.6463614,16.62193795,Bed & Breakfast,LA CASA DI ANNA,ANNA MARIA MANICONE,VIA RUTIGLIANO 5,Matera,106,179,Italy,8,7,42495
751,40.68045914,16.58187237,Bed & Breakfast,LA DOLCE NOTTE,IANNARELLA SARA,VIA VIRGILIO 5,Matera,68,717,Italy,64,4,42696
752,40.6698641,16.60752316,Bed & Breakfast,LA FORMICA,MONICA IMBREA,VIA F. PAOLO VOLPE 6,Matera,159,3472,Italy,4,6,42067
753,40.64444282,16.62350028,Bed & Breakfast,LA SPECCHIA,BELISARIO CIFARELLI,VIA TEODORO RICCIARDI 8,Matera,106,580,Italy,12,2,42301
754,40.6635927,16.53448672,Bed & Breakfast,L'ANTICO BORGO,ROSSELLA FERRARONI,VIA DONATO DONATELLO 1 D,Matera,65,1434,Italy,6,4,42550
755,40.666617,16.608589,Bed & Breakfast,LE RONDINELLE,ALESSANDRO SACCO,rec.1¯ Fiorentini 1-2,Matera,,,Italy,,6,41446
756,40.67259074,16.60518062,Bed & Breakfast,MATERA  CITY,SANTARCANGELO GIUSEPPE,VIA GIOLITTI 25,Matera,159,3620,Italy,12,2,41207
757,40.66809855,16.60845482,Bed & Breakfast,ANIMA PIETRA SUITE,GROSSI FRANCESCO PAOLO,PIAZZA SAN BIAGIO 3,Matera,159,2759,Italy,6,2,42473
758,40.696678,16.585586,Bed & Breakfast,PINETA PADUCCI,PADULA FRANCESCO,contrada Serra Paducci,Matera,,,Italy,,4,39100
759,40.65509,16.586411,Bed & Breakfast,POZZO MISSEO,GIUSEPPE PAOLICELLI,contrada Pozzo Misseo s.n.c.,Matera,,,Italy,,6,38814
760,40.68341255,16.5868605,Bed & Breakfast,PRESIDENT'S HOME,MARCELLA A. CASAMASSIMA,VIA DEGLI AUSONI 8,Matera,51,206,Italy,15,4,42180
764,40.6702249,16.60851939,Bed & Breakfast,TERRAZZA SUI SASSI,MANCINO MICHELE,VIA PIAVE 35,Matera,159,3575,Italy,18,6,40584
766,40.6693583,16.60364721,Bed & Breakfast,B&B PAPAPIETRO,PAPAPIETRO PASQUALE,VIA LUPO PROTOSPATA 37,Matera,71,1147,Italy,8,4,42722
767,40.66039618,16.6119212,Bed & Breakfast,HISTORY,FESTA ANTONELLA,VIA LUCANA 278,Matera,103,42,Italy,5,4,42712
768,40.66120131,16.61231107,Bed & Breakfast,SISTER'S IN LOVE,GIASI GIUSEPPE,REC 5°LUCANO 11,Matera,159,2538,Italy,17,2,42908
769,40.66585784,16.6079427,Bed & Breakfast,B & B AL VICO,NOTARO ANDREA,VICO SAN GIUSEPPE.31/33,Matera,159,678,Italy,22,4,42880
770,40.66969542,16.60461049,Bed & Breakfast,b & b GREEN,MARIA CRISTINA FERRO,VIA L. PROTOSPATA 50,Matera,159,5041,Italy,14,3,42942
771,40.66566294,16.53338153,Bed & Breakfast,ARON,LOPONTE DOMENICA MARIA,VIALE MANTEGNA ANDREA 104,Matera,65,1875,Italy,5,4,42881
772,40.67046031,16.60299811,Bed & Breakfast,B & B ORLANDO,ORLANDO MASSIMILIANO,VIA L. PROTOSPATA 74,Matera,71,861,Italy,27,6,42900
773,40.67873024,16.57594518,Bed & Breakfast,B&B ELIDE,DI PEDE ROSALBA,VIA TARANTO 12,Matera,67,2593,Italy,9,4,43011
774,40.65948644,16.61217075,Bed & Breakfast,CASA CRISTALLO,VALENTINA CRISTALLO,VIA G. FORTUNATO 39 piano terra,Matera,103,310,Italy,,4,43027
775,40.64510975,16.61730378,Bed & Breakfast,DONNA NICLA MATERA,ALBANESE ANDREA PIETRO GIOVANNI,VIA TURI 50,Matera,113,187,Italy,4,6,43033
776,40.66767806,16.60985483,Bed & Breakfast,B & B DA IDA,IDA IMMACOLATA RICCARDO,VIA SAN GENNARO VECCHIO 66,Matera,159,297,Italy,4,8,42530
778,40.66560544,16.61189422,Bed & Breakfast,CORTE DEI VENTI,SERENA ALTIERI,VIA SAN GIACOMO 20,Matera,159,1599,Italy,4,4,42444
779,40.67165705,16.60363538,Bed & Breakfast,ANNUNZIATELLA 95,MARIA CRISTINA PARENTE,VIA ANNUNZIATELLA 95,Matera,71,594,Italy,16,4,42424
781,40.66559168,16.61182226,Bed & Breakfast,SOLOSUD,PAOLA DE DONNO,VIA SAN GIACOMO 16 17 18,Matera,159,1598,Italy,3,7,42431
783,40.6625417,16.61029961,Bed & Breakfast,DIMORA LANFRANCHI,MARCELLO CORONELLA,VIA CASALNUOVO 8,Matera ,159,3249,Italy,8,2,42431
784,40.64994866,16.62098773,Bed & Breakfast,SANT'AGNESE,SANTARSIA CHIARA,VIA FRANCESCO NATALE FARINA1,Matera,106,1015,Italy,2,2,42481
785,40.64593007,16.62160009,Bed & Breakfast,CASA AZUL,CLAUDIA PENTASUGLIA,VIA MONS. CAVALLA 10,Matera,106,373,Italy,13,4,42529
786,40.6864277,16.57778443,Bed & Breakfast,GIADA,BELLAROSA ROSA,VIA NINO ROTA 298,Matera,51,2863,Italy,19,2,42431
788,40.6845307,16.58651745,Bed & Breakfast,A CASA DI BRUNA,STIFANO BRUNA,VIA DEI BRUZZI 66,Matera,51,601,Italy,3,3,42178
789,40.66502674,16.60469011,Bed & Breakfast,B & B IL TRAMONTANO,PERRONE LEONARDO,VICO GRAMSCI 2,Matera,71,266,Italy,43,2,42362
790,40.66760618,16.6094309,Bed & Breakfast,TERRA  MATER,FABRIZIO VINCENZO,VIA SAN ROCCO 50,Matera,159,340,Italy,13,3,42608
791,40.66806028,16.60803122,Bed & Breakfast,TERRA LUCANA B&B,DIMASTRODONATO GIANLUCA,vico xx settembre 58,Matera,159,4895,Italy,2,6,42838
